ID,Age_cal,Precision
6223,7384,142
6748,7384,142
6920,7384,142
7284,7384,142
7672,7384,142
8694,7384,142
169,360,113
324,360,113
425,360,113
894,360,113
3555,360,113
4152,360,113
4410,360,113
5274,360,113
5627,360,113
6222,360,113
6738,360,113
6916,360,113
7129,360,113
7270,360,113
7664,360,113
8672,360,113
8208,3734,127
8205,3148,123
1964,25994,89
1948,24561,170
1922,17807,90
1921,17797,90
1916,16930,120
1914,16745,117
1912,16564,118
1908,15658,109
1865,9530,14
1861,9086,53
1860,9053,40
1946,24326,211
1811,50,0
1918,17082,213
2053,46609,2003
2035,43747,2294
2006,33484,701
1825,1505,65
7864,48857,303
1885,13440,20
1810,50,0
1829,1815,52
1923,18952,97
9615,44516,878
1925,20488,111
1933,22067,135
1996,30272,275
1854,7860,88
1934,22250,149
1870,10977,131
9457,22250,149
9425,10977,131
8964,31089,1167
1835,3950,62
1830,1993,78
4674,5581,126
4672,4569,141
8156,4299,131
4671,4284,130
7524,4134,135
4669,3473,92
7522,3473,92
513,3053,132
967,3053,132
3790,3053,132
3826,3053,132
3841,3053,132
4248,3053,132
6966,3053,132
7335,3053,132
512,2099,118
3825,2099,118
4246,2099,118
5300,2099,118
7333,2099,118
188,1878,113
511,1878,113
846,1878,113
923,1878,113
966,1878,113
3430,1878,113
3589,1878,113
3789,1878,113
3824,1878,113
3840,1878,113
4064,1878,113
4245,1878,113
5299,1878,113
6134,1878,113
7519,1878,113
8262,1878,113
510,1417,85
3429,1417,85
3588,1417,85
3823,1417,85
4242,1417,85
5016,1417,85
7299,1417,85
7330,1417,85
8717,1417,85
187,1198,82
269,1198,82
388,1198,82
509,1198,82
614,1198,82
720,1198,82
768,1198,82
964,1198,82
3428,1198,82
3587,1198,82
3788,1198,82
3822,1198,82
3839,1198,82
4063,1198,82
4241,1198,82
5117,1198,82
5298,1198,82
6768,1198,82
6965,1198,82
7298,1198,82
7329,1198,82
7939,1198,82
8715,1198,82
508,1138,92
613,1138,92
719,1138,92
3427,1138,92
3787,1138,92
4062,1138,92
7297,1138,92
7328,1138,92
8714,1138,92
387,1018,105
507,1018,105
922,1018,105
963,1018,105
